ID	WC_TA	RE_TA	EBIT_TA	MVE_BVTD	S_TA	Industry	Rating
62394	0.013	0.104	0.036	0.447	0.142	3	BB
48608	0.232	0.335	0.062	1.969	0.281	8	A
42444	0.311	0.367	0.074	1.935	0.366	1	A
48631	0.194	0.263	0.062	1.017	0.228	4	BBB
43768	0.121	0.413	0.057	3.647	0.466	12	AAA
39255	-0.117	-0.799	0.01	0.179	0.082	4	CCC
62236	0.087	0.158	0.049	0.816	0.324	2	BBB
39354	0.005	0.181	0.034	2.597	0.388	7	AA
40326	0.47	0.752	0.07	11.596	1.12	8	AAA
51681	0.11	0.337	0.045	3.835	0.812	4	AAA
55360	-0.108	-0.615	0.017	0.145	0.104	11	CCC
71454	0.008	0.121	0.03	2.109	0.446	9	A
75023	0.031	0.045	0.039	0.816	0.301	6	BB
45535	-0.015	0.178	0.021	3.087	0.685	9	A
37657	-0.097	-0.004	0.024	0.673	0.178	1	BB
58258	0.511	0.869	0.106	8.538	0.732	2	AAA
83548	0.237	0.198	0.072	0.876	0.205	8	BB
65378	0.223	0.253	0.063	0.925	0.246	7	BBB
82333	0.302	0.536	0.061	1.586	0.303	2	A
71997	0.262	0.429	0.064	2.355	0.292	5	AA
34252	0.251	0.283	0.063	0.94	0.28	5	BBB
81958	0.048	0.247	0.042	2.941	0.493	8	AA
59963	0.101	0.173	0.05	0.686	0.171	9	BBB
80254	0.265	0.269	0.078	0.795	0.277	10	BB
78007	0.162	0.407	0.067	2.274	0.41	3	AA
82465	0.198	0.239	0.062	0.714	0.132	1	BBB
82389	0.131	0.139	0.05	0.346	0.098	7	BB
64142	0.286	0.219	0.075	0.442	0.135	4	BB
81091	0.134	0.158	0.053	0.743	0.174	5	BBB
74839	0.279	0.45	0.068	2.744	0.401	6	AA
64204	0.202	0.46	0.064	3.685	0.682	4	AAA
83621	-0.032	0.084	0.021	0.948	0.269	7	BBB
69300	0.306	0.487	0.075	2.185	0.249	11	AA
80145	0.295	0.346	0.07	0.981	0.247	7	BBB
81169	0.019	0.009	0.042	0.257	0.119	1	B
63189	0.145	0.235	0.057	2.632	0.3	7	AA
58954	0.307	0.461	0.079	1.842	0.284	2	A
56417	0.238	0.181	0.073	0.712	0.189	10	BB
40417	0.062	0.154	0.046	0.491	0.132	10	BB
75800	0.399	0.506	0.096	3.393	0.477	3	AAA
47169	0.321	0.439	0.068	2.018	0.41	1	A
77511	0.068	0.463	0.049	3.129	0.559	3	AA
54799	0.098	0.259	0.048	2.488	0.459	11	AA
78960	0.185	0.208	0.057	0.926	0.194	12	BBB
33384	0.277	0.307	0.066	0.719	0.137	9	BBB
61036	0.365	0.622	0.089	4.132	0.443	5	AAA
81181	-0.168	-1.86	-0.012	0.045	0.051	2	CCC
72200	-0.03	-0.064	0.025	0.667	0.202	6	BB
84698	0.234	0.467	0.068	2.525	0.338	5	AA
42443	0.157	0.325	0.058	1.432	0.241	8	A
48906	0.331	0.259	0.066	0.585	0.112	3	BBB
49721	0.14	0.288	0.056	1.644	0.27	7	A
52983	0.038	0.403	0.045	3.92	0.622	12	AAA
78574	0.168	0.283	0.059	1.705	0.315	1	BBB
36188	-0.14	-0.242	0.003	0.367	0.129	6	BB
49686	0.171	0.12	0.056	0.382	0.093	9	BB
78214	0.038	-0.033	0.033	0.334	0.103	3	BB
47017	0.098	0.168	0.047	0.707	0.195	8	BB
69388	0.253	0.303	0.068	0.695	0.236	7	BBB
43127	-0.011	0.324	0.024	1.88	0.273	11	A
72972	0.096	0.207	0.047	1.289	0.269	5	BBB
84360	0.095	0.223	0.054	0.952	0.248	5	BBB
47675	0.112	0.14	0.047	0.671	0.103	11	BBB
43410	0.144	0.297	0.055	1.483	0.357	6	A
69570	0.13	0.301	0.05	0.942	0.317	5	BBB
79353	0.377	0.533	0.073	2.858	0.37	1	AA
82367	-0.078	-0.042	0.011	0.262	0.167	7	B
78814	0.275	0.373	0.068	1.547	0.233	4	A
36031	0.373	0.444	0.083	2.277	0.253	3	AA
33508	0.037	0.086	0.047	0.56	0.238	8	B
72308	0.012	0.115	0.028	1.602	0.345	3	A
59608	0.036	0.399	0.041	3.968	0.749	3	AAA
78444	0.038	0.068	0.033	0.523	0.148	1	BB
34796	0.506	0.599	0.108	1.882	0.27	1	AA
76002	0.053	0.059	0.038	0.501	0.146	6	BB
76415	0.127	0.242	0.056	2.141	0.356	11	AA
47820	0.105	0.32	0.052	4.058	0.381	11	AAA
80397	0.055	0.249	0.042	2.987	0.457	9	AA
33475	0.216	0.467	0.068	3.572	0.548	2	AA
67199	0.106	0.224	0.062	0.392	0.086	8	BB
75845	0.548	0.826	0.107	4.903	0.268	12	AAA
78428	0.009	-0.205	0.035	0.4	0.167	12	BB
40104	0.267	0.346	0.069	1.25	0.258	5	BBB
35671	0.136	0.038	0.051	0.258	0.085	11	BB
46796	0.128	0.334	0.047	2.72	0.492	9	AA
36554	0.234	0.353	0.071	1.458	0.224	10	BBB
68889	0.102	0.151	0.05	0.707	0.153	12	BBB
51715	0.227	0.176	0.063	0.352	0.097	1	BB
66627	0.219	0.319	0.065	1.135	0.214	7	BBB
75566	0.041	0.225	0.042	1.332	0.427	1	BBB
68332	0.211	0.178	0.057	0.636	0.114	10	BBB
56322	0.008	0.036	0.027	0.63	0.201	12	BB
59931	0.253	0.043	0.068	0.169	0.065	6	BB
74258	0.142	0.271	0.058	1.609	0.266	6	A
68113	0.286	0.195	0.068	0.89	0.19	3	BBB
75209	0.26	0.385	0.071	1.725	0.309	10	A
58022	0.036	0.075	0.04	0.54	0.181	1	BB
63060	-0.12	-0.495	0.011	0.564	0.148	3	BB
67430	0.063	0.102	0.043	0.93	0.222	2	BB
57357	-0.036	0.485	0.02	14.418	1.121	3	AAA
84423	0.191	0.303	0.059	1.595	0.332	9	BBB
39536	-0.059	0.004	0.018	0.785	0.231	7	BB
33579	0.282	0.354	0.067	2.405	0.398	2	AA
58235	0.084	0.129	0.04	0.904	0.304	9	BB
73311	0.236	0.283	0.059	1.889	0.419	5	A
81183	-0.032	-0.045	0.027	0.549	0.182	9	B
43951	-0.056	-0.265	0.023	0.146	0.075	12	CCC
43343	0.223	0.283	0.066	1.487	0.246	4	BBB
74948	0.557	1.049	0.116	54.207	1.603	9	AAA
40511	0.313	0.511	0.078	3.461	0.452	9	AA
41493	0.359	0.422	0.085	3.423	0.378	9	AA
67956	0.008	-0.04	0.03	0.382	0.13	11	BB
63840	0.346	0.389	0.078	1.773	0.398	3	A
35917	0.095	0.118	0.054	0.508	0.169	4	BB
62348	0.085	0.257	0.046	0.929	0.178	3	BBB
61861	0.224	0.449	0.068	3.204	0.332	10	AA
48454	0.082	0.348	0.046	3.817	0.633	12	AAA
73526	0.268	0.318	0.062	2.913	0.32	11	AA
39961	0.367	0.334	0.067	1.593	0.385	7	A
71310	0.345	0.517	0.081	2.654	0.317	11	AAA
67438	0.365	0.645	0.085	5.469	0.304	4	AAA
49880	-0.083	-0.449	0.023	0.08	0.072	10	CCC
56898	0.305	0.519	0.073	4.702	0.609	4	AAA
75453	0.53	0.696	0.114	3.029	0.243	3	AAA
67993	-0.096	-0.256	0.027	0.806	0.404	10	B
52990	0.004	-0.034	0.04	0.204	0.099	3	BB
84624	0.033	0.212	0.035	2.412	0.337	10	A
40941	0.417	0.752	0.092	5.569	0.502	11	AAA
65725	0.106	0.224	0.046	2.039	0.391	11	A
34997	-2.231	-2.32	-0.366	0.26	0.088	3	CCC
38761	-0.008	-0.123	0.03	0.158	0.078	8	CCC
48851	0.21	0.209	0.066	0.765	0.175	6	BBB
64149	0.286	0.513	0.072	2.774	0.328	9	AA
80816	0.032	0.093	0.041	0.528	0.235	5	BB
80480	0.206	0.412	0.057	3.279	0.347	11	AA
83266	0.16	0.303	0.049	1.735	0.328	2	A
32758	0.059	0.086	0.044	0.565	0.183	9	BB
40392	0.396	0.423	0.087	1.52	0.27	7	A
61324	0.066	0.283	0.047	1.908	0.368	2	A
35596	-0.065	-0.03	0.012	3.442	0.36	12	AA
54764	0.202	0.382	0.06	2.162	0.366	2	AA
55108	0.362	0.306	0.079	0.292	0.107	4	BB
48394	0.324	0.243	0.074	0.525	0.115	3	BBB
43873	0.31	0.401	0.071	0.909	0.125	10	BBB
51136	0.49	0.729	0.103	1.867	0.127	7	AA
51690	0.008	0.105	0.032	0.772	0.179	4	BBB
51847	0.126	0.009	0.046	0.228	0.094	12	BB
76143	-0.15	-0.374	-0.001	0.525	0.199	7	BB
44898	0.465	0.77	0.107	11.08	0.918	11	AAA
77806	0.022	0.05	0.038	0.545	0.19	9	B
64515	0.272	0.316	0.078	2.162	0.354	3	AA
47907	-0.148	0.114	-0.003	2.02	0.4	9	A
43636	-0.314	-1.972	-0.076	0.043	0.085	1	CCC
66310	0.035	0.127	0.044	0.802	0.197	7	BBB
68454	0.193	0.396	0.053	2.617	0.359	9	AA
50392	0.084	0.262	0.033	4.087	0.522	4	AAA
38332	0.345	0.744	0.079	5.08	0.477	5	AAA
36163	0.152	0.308	0.052	3.102	0.512	8	AA
61386	0.135	0.295	0.062	1.454	0.433	4	BBB
71375	0.14	0.242	0.052	1.257	0.302	3	A
42176	0.149	0.242	0.055	0.924	0.178	1	BBB
79801	0.22	0.589	0.074	1.931	0.329	5	AA
66776	0.124	0.521	0.058	2.5	0.448	3	AA
33130	0.23	0.592	0.053	5.161	0.925	5	AAA
76762	0.103	0.256	0.049	2.729	0.303	6	AA
45031	-0.009	0.062	0.022	1.34	0.294	10	BB
83871	0.487	0.846	0.12	15.061	0.769	10	AAA
69253	-0.016	-0.236	0.032	0.247	0.079	6	B
79621	0.014	0.156	0.027	2.743	0.537	9	AA
76821	0.005	0.151	0.029	1.139	0.266	11	BBB
69062	-0.009	0.051	0.027	0.963	0.284	3	BBB
65143	0.301	0.459	0.076	1.978	0.303	9	A
43403	-0.009	0.027	0.035	0.416	0.133	5	BB
70638	0.145	0.297	0.053	1.321	0.294	10	BBB
75816	-0.009	-0.045	0.029	0.353	0.137	8	BB
68239	-0.017	-0.191	0.022	0.179	0.101	5	CCC
67377	0.181	0.236	0.059	0.837	0.191	5	BB
52996	0.184	0.207	0.056	1.475	0.182	2	BBB
70993	0.087	0.362	0.046	4.737	0.557	6	AAA
40738	0.164	0.366	0.059	2.318	0.375	8	A
49323	0.347	0.514	0.081	4.841	0.519	4	AAA
38081	0.203	0.408	0.042	1.798	0.425	2	A
